Blob length,Hydrophobicity threshold H*,Number of dSNPs,Number of nSNPs,Total Number of SNPs,Enrichment of dSNPs,p value
42,0.05,28,30,58,1.18,0.354
43,0.05,6,27,33,0.28,0.000195
44,0.05,36,41,77,1.11,0.482
45,0.05,12,34,46,0.45,0.00255
47,0.05,14,42,56,0.42,0.00033
48,0.05,8,41,49,0.25,6.3e-07
49,0.05,12,25,37,0.61,0.0898
50,0.05,17,27,44,0.8,0.446
51,0.05,23,66,89,0.44,1.09e-05
52,0.05,6,29,35,0.26,5.86e-05
53,0.05,17,35,52,0.62,0.0447
54,0.05,19,27,46,0.89,0.744
55,0.05,36,45,81,1.01,0.867
56,0.05,19,36,55,0.67,0.0898
57,0.05,15,41,56,0.46,0.00107
58,0.05,21,50,71,0.53,0.00183
59,0.05,53,28,81,2.4,2.3e-08
60,0.05,52,31,83,2.13,1.26e-06
61,0.05,22,37,59,0.75,0.227
62,0.05,31,29,60,1.36,0.0933
63,0.05,27,41,68,0.83,0.427
64,0.05,39,42,81,1.18,0.296
65,0.05,9,29,38,0.39,0.00161
66,0.05,16,33,49,0.61,0.0491
68,0.05,25,31,56,1.02,0.84
69,0.05,28,23,51,1.54,0.0254
70,0.05,5,36,41,0.18,1.59e-07
71,0.05,54,46,100,1.49,0.00586
72,0.05,43,31,74,1.76,0.00054
73,0.05,10,40,50,0.32,1.57e-05
74,0.05,49,36,85,1.73,0.000454
75,0.05,21,33,54,0.81,0.377
76,0.05,53,38,91,1.77,0.000113
77,0.05,15,31,46,0.61,0.0542
78,0.05,20,49,69,0.52,0.0016
79,0.05,31,44,75,0.89,0.61
80,0.05,10,41,51,0.31,8.86e-06
81,0.05,20,33,53,0.77,0.28
82,0.05,8,23,31,0.44,0.0131
83,0.05,25,49,74,0.65,0.0292
84,0.05,11,28,39,0.5,0.014
85,0.05,8,46,54,0.22,2.87e-08
86,0.05,11,48,59,0.29,5.42e-07
87,0.05,8,34,42,0.3,4.14e-05
88,0.05,44,47,91,1.19,0.249
89,0.05,17,49,66,0.44,0.000143
90,0.05,31,39,70,1.01,0.928
91,0.05,48,42,90,1.45,0.0145
92,0.05,3,34,37,0.11,1.84e-08
93,0.05,25,34,59,0.93,0.846
94,0.05,27,38,65,0.9,0.648
95,0.05,16,43,59,0.47,0.00102
96,0.05,8,23,31,0.44,0.0131
97,0.05,18,35,53,0.65,0.0698
98,0.05,28,40,68,0.89,0.593
99,0.05,13,42,55,0.39,0.000118
100,0.05,18,51,69,0.45,0.00014
2,0.06,109,129,238,1.07,0.456
4,0.06,12,25,37,0.61,0.0898
5,0.06,10,22,32,0.58,0.0907
6,0.06,31,32,63,1.23,0.232
7,0.06,14,21,35,0.85,0.623
8,0.06,16,32,48,0.63,0.0719
9,0.06,19,29,48,0.83,0.529
10,0.06,12,19,31,0.8,0.519
11,0.06,22,17,39,1.64,0.0273
13,0.06,27,28,55,1.22,0.286
14,0.06,20,24,44,1.06,0.73
15,0.06,21,28,49,0.95,0.915
16,0.06,34,41,75,1.05,0.725
17,0.06,31,45,76,0.87,0.502
18,0.06,5,36,41,0.18,1.59e-07
19,0.06,26,51,77,0.65,0.0219
20,0.06,8,36,44,0.28,1.28e-05
21,0.06,36,50,86,0.91,0.69
22,0.06,31,61,92,0.64,0.0114
23,0.06,37,77,114,0.61,0.00159
24,0.06,38,64,102,0.75,0.0902
25,0.06,42,39,81,1.37,0.0469
27,0.06,40,50,90,1.01,0.873
28,0.06,23,52,75,0.56,0.00367
29,0.06,59,55,114,1.36,0.0223
30,0.06,23,51,74,0.57,0.0044
31,0.06,29,58,87,0.63,0.0116
32,0.06,23,54,77,0.54,0.00159
33,0.06,18,52,70,0.44,8.56e-05
34,0.06,40,60,100,0.85,0.343
35,0.06,33,57,90,0.73,0.0852
36,0.06,42,46,88,1.16,0.319
37,0.06,14,76,90,0.23,2.34e-12
38,0.06,19,51,70,0.47,0.000353
39,0.06,16,47,63,0.43,0.000194
40,0.06,27,55,82,0.62,0.0118
41,0.06,52,56,108,1.18,0.228
42,0.06,62,85,147,0.92,0.582
43,0.06,21,44,65,0.61,0.0171
44,0.06,56,58,114,1.22,0.138
45,0.06,29,65,94,0.57,0.000986
47,0.06,30,62,92,0.61,0.00512
48,0.06,36,63,99,0.72,0.0547
49,0.06,40,48,88,1.06,0.684
50,0.06,30,72,102,0.53,0.000144
51,0.06,39,70,109,0.71,0.0261
52,0.06,26,60,86,0.55,0.00102
53,0.06,29,70,99,0.53,0.000153
54,0.06,86,64,150,1.7,5.56e-06
55,0.06,55,73,128,0.96,0.792
56,0.06,20,70,90,0.36,8.32e-08
57,0.06,53,60,113,1.12,0.383
58,0.06,45,77,122,0.74,0.046
59,0.06,42,63,105,0.85,0.319
60,0.06,77,52,129,1.88,4.4e-07
61,0.06,25,55,80,0.58,0.00375
62,0.06,27,58,85,0.59,0.0038
63,0.06,37,75,112,0.63,0.00269
64,0.06,27,70,97,0.49,3.7e-05
65,0.06,67,62,129,1.37,0.0121
66,0.06,34,58,92,0.74,0.0882
68,0.06,35,54,89,0.82,0.282
69,0.06,65,63,128,1.31,0.033
70,0.06,33,66,99,0.63,0.00666
71,0.06,85,68,153,1.58,6.8e-05
72,0.06,27,67,94,0.51,0.000142
73,0.06,19,56,75,0.43,3.13e-05
74,0.06,57,65,122,1.11,0.401
75,0.06,41,66,107,0.79,0.144
76,0.06,54,69,123,0.99,1.0
77,0.06,37,73,110,0.64,0.00545
78,0.06,21,60,81,0.44,3.01e-05
79,0.06,45,78,123,0.73,0.0349
80,0.06,23,58,81,0.5,0.000355
81,0.06,39,47,86,1.05,0.742
82,0.06,42,58,100,0.92,0.657
83,0.06,33,75,108,0.56,0.000325
84,0.06,40,38,78,1.33,0.0813
85,0.06,64,60,124,1.35,0.0196
86,0.06,18,68,86,0.34,3.41e-08
87,0.06,9,46,55,0.25,1.22e-07
88,0.06,36,86,122,0.53,3.32e-05
89,0.06,26,69,95,0.48,3.15e-05
90,0.06,15,72,87,0.26,1.08e-10
91,0.06,81,51,132,2.01,1.34e-08
92,0.06,9,57,66,0.2,1.29e-10
93,0.06,36,48,84,0.95,0.871
94,0.06,37,62,99,0.76,0.099
95,0.06,19,50,69,0.48,0.000435
96,0.06,48,65,113,0.94,0.726
97,0.06,49,59,108,1.05,0.713
98,0.06,18,67,85,0.34,5.93e-08
99,0.06,30,70,100,0.54,0.000335
100,0.06,45,58,103,0.98,1.0
2,0.07,206,246,452,1.06,0.387
4,0.07,28,45,73,0.79,0.239
5,0.07,33,55,88,0.76,0.128
6,0.07,41,57,98,0.91,0.602
7,0.07,22,55,77,0.51,0.000586
8,0.07,39,58,97,0.85,0.374
9,0.07,47,58,105,1.03,0.824
10,0.07,47,66,113,0.9,0.532
