Blob length,Hydrophobicity threshold H*,Number of dSNPs,Number of nSNPs,Total Number of SNPs,Enrichment of dSNPs,p value
98,0.05,31,50,81,0.79,0.202
99,0.05,14,53,67,0.33,1.27e-06
1,0.06,185,260,445,0.9,0.172
3,0.06,47,45,92,1.32,0.0637
4,0.06,12,22,34,0.69,0.229
5,0.06,10,20,30,0.63,0.165
6,0.06,27,32,59,1.07,0.69
7,0.06,14,21,35,0.85,0.623
8,0.06,15,31,46,0.61,0.0542
9,0.06,19,27,46,0.89,0.744
10,0.06,12,19,31,0.8,0.519
12,0.06,25,48,73,0.66,0.0342
13,0.06,27,28,55,1.22,0.286
14,0.06,20,23,43,1.1,0.637
15,0.06,21,28,49,0.95,0.915
16,0.06,34,40,74,1.08,0.655
17,0.06,31,45,76,0.87,0.502
18,0.06,5,36,41,0.18,1.59e-07
19,0.06,26,51,77,0.65,0.0219
20,0.06,8,35,43,0.29,2.31e-05
21,0.06,36,49,85,0.93,0.747
22,0.06,30,59,89,0.64,0.0125
23,0.06,37,77,114,0.61,0.00159
24,0.06,38,64,102,0.75,0.0902
26,0.06,40,62,102,0.82,0.223
27,0.06,39,49,88,1.01,0.936
28,0.06,23,51,74,0.57,0.0044
29,0.06,30,54,84,0.7,0.0548
30,0.06,23,49,72,0.6,0.00973
31,0.06,29,56,85,0.66,0.0194
32,0.06,23,53,76,0.55,0.00242
33,0.06,18,50,68,0.46,0.000227
34,0.06,40,59,99,0.86,0.378
35,0.06,32,57,89,0.71,0.0521
36,0.06,42,46,88,1.16,0.319
37,0.06,14,76,90,0.23,2.34e-12
38,0.06,18,51,69,0.45,0.00014
39,0.06,16,47,63,0.43,0.000194
40,0.06,26,55,81,0.6,0.00609
41,0.06,52,54,106,1.22,0.145
42,0.06,62,83,145,0.95,0.757
43,0.06,21,44,65,0.61,0.0171
44,0.06,31,58,89,0.68,0.0263
46,0.06,18,37,55,0.62,0.0407
47,0.06,30,59,89,0.64,0.0125
48,0.06,36,65,101,0.7,0.0301
49,0.06,40,48,88,1.06,0.684
50,0.06,30,72,102,0.53,0.000144
51,0.06,40,70,110,0.72,0.0428
52,0.06,26,62,88,0.53,0.000556
53,0.06,29,70,99,0.53,0.000153
54,0.06,86,63,149,1.73,2.42e-06
55,0.06,46,69,115,0.85,0.278
56,0.06,22,69,91,0.4,1.21e-06
57,0.06,52,62,114,1.06,0.617
58,0.06,45,76,121,0.75,0.0523
59,0.06,42,63,105,0.85,0.319
60,0.06,77,50,127,1.95,1.01e-07
61,0.06,25,60,85,0.53,0.000591
62,0.06,27,60,87,0.57,0.00215
63,0.06,37,78,115,0.6,0.00109
64,0.06,27,69,96,0.5,5.81e-05
65,0.06,67,65,132,1.31,0.0355
67,0.06,59,56,115,1.34,0.0289
68,0.06,37,59,96,0.8,0.186
69,0.06,53,63,116,1.07,0.619
70,0.06,33,68,101,0.62,0.00323
71,0.06,87,68,155,1.62,2.73e-05
72,0.06,25,69,94,0.46,1.27e-05
73,0.06,19,60,79,0.4,5.49e-06
74,0.06,58,67,125,1.1,0.449
75,0.06,41,66,107,0.79,0.144
76,0.06,54,70,124,0.98,0.946
77,0.06,36,71,107,0.64,0.00596
78,0.06,21,65,86,0.41,3.34e-06
79,0.06,45,81,126,0.7,0.0171
80,0.06,23,61,84,0.48,8.99e-05
81,0.06,39,50,89,0.99,1.0
82,0.06,41,56,97,0.93,0.706
83,0.06,30,77,107,0.49,2.03e-05
84,0.06,41,40,81,1.3,0.108
85,0.06,64,61,125,1.33,0.0252
86,0.06,19,69,88,0.35,6.32e-08
87,0.06,9,51,60,0.22,5.61e-09
88,0.06,37,87,124,0.54,4.76e-05
89,0.06,27,80,107,0.43,5.38e-07
90,0.06,13,74,87,0.22,1.87e-12
91,0.06,73,58,131,1.6,0.000198
92,0.06,9,60,69,0.19,1.9e-11
93,0.06,36,47,83,0.97,0.935
94,0.06,37,64,101,0.73,0.057
95,0.06,19,54,73,0.45,8.36e-05
96,0.06,48,65,113,0.94,0.726
97,0.06,49,63,112,0.99,1.0
98,0.06,21,77,98,0.35,7.94e-09
99,0.06,31,79,110,0.5,1.94e-05
1,0.07,249,382,631,0.83,0.00214
3,0.07,75,95,170,1.0,0.954
4,0.07,27,41,68,0.83,0.427
